file,species,date,capitula,clusters,flowers,inflorescences,other,plants,unknown1,unknown2,double.count,filelow,sp1,sp2,sp3,latbi,,need.change,new.genus,new.epithet,notes
Meadow (Enders) plot #1,Osmorhiza occidentalis,6/10/04,17,,,,2,,,,,meadow (enders) plot #1,Osmorhiza,occidentalis,,Osmorhiza occidentalis ,,no,,
RM8-1973,Osmorhiza  occidentale,7/10/73,,,,2,,,,,,rm8-1973,Osmorhiza,occidentale,,Osmorhiza occidentale ,,no,,
SB6-1973,Osmorhiza  obtusa,7/10/73,,,,1,,,,,,sb6-1973,Osmorhiza,obtusa,,Osmorhiza obtusa ,,,,
SB2-1973,Oxypolis  fendleri,6/20/73,,,,,,,,,,sb2-1973,Oxypolis,fendleri,,Oxypolis fendleri ,,no,,
Stream Plot #10 - 2007,Oxytropis deflexa,5/14/07,,,,,,,,,,stream plot #10 - 2007,Oxytropis,deflexa,,Oxytropis deflexa ,,no,,
SB5-1973,Parnassia  fimbriata,7/10/73,,,,,,,,,,sb5-1973,Parnassia,fimbriata,,Parnassia fimbriata ,,,,
Rocky Meadow #2 - 2007,Paxistima myrsinites,4/18/07,,,,,,,,,,rocky meadow #2 - 2007,Paxistima,myrsinites,,Paxistima myrsinites ,,no,,
Aspen Forest Plot #9 - 2006,Pedicularis procera (grayi),4/30/06,,,,,,,,,,aspen forest plot #9 - 2006,Pedicularis,procera,(grayi),Pedicularis procera (grayi),,yes,,
SB2-1973,Pedicularis  bracteosa,6/20/73,,,,,,,,,,sb2-1973,Pedicularis,bracteosa,,Pedicularis bracteosa ,,no,,
SB7-1973,Pedicularis  groenlandica,7/23/73,,,,7,,,,,,sb7-1973,Pedicularis,groenlandica,,Pedicularis groenlandica ,,no,,
willow-meadow interface #3 - 2001,Pedicularis grayii - about 4 m east of plot,4/19/01,,,,,,,,,,willow-meadow interface #3 - 2001,Pedicularis grayii - about 4 m east of plot,Pedicularis grayii - about 4 m east of plot,Pedicularis grayii - about 4 m east of plot,Pedicularis grayii - about 4 m east of plot Pedicularis grayii - about 4 m east of plot Pedicularis grayii - about 4 m east of plot,,yes,,
willow-meadow interface #3 - 2003,"Pedicularis procera (grayi), about 4 m away",5/13/03,,,,,,,,,,willow-meadow interface #3 - 2003,"Pedicularis procera (grayi), about 4 m away","Pedicularis procera (grayi), about 4 m away","Pedicularis procera (grayi), about 4 m away","Pedicularis procera (grayi), about 4 m away Pedicularis procera (grayi), about 4 m away Pedicularis procera (grayi), about 4 m away",,yes,,
RM7-1974,Phacelia heterosepala,5/25/74,,,,,,,,,,rm7-1974,Phacelia,heterosepala,,Phacelia heterosepala ,,yes,Phacelia,heterophylla
rocky meadow #2 - 2004,Phacelia heterophylla,4/4/04,,,,,,,,,,rocky meadow #2 - 2004,Phacelia,heterophylla,,Phacelia heterophylla ,,no,,
Aspen Forest #9 - 2007,Phleum pratense,5/10/07,,,,,,,,,,aspen forest #9 - 2007,Phleum,pratense,,Phleum pratense ,,yes,Phleum,commutatum,
gp1-1986,Phleum,6/1/86,,,,,,,,,,gp1-1986,Phleum,,,Phleum  ,,yes,Phleum,commutatum,
greenhouse plot #1 - 2000,Phleum or Alopoceurus,4/8/00,,,,,,,,,,greenhouse plot #1 - 2000,Phleum,or,Alopoceurus,Phleum or Alopoceurus,,yes,Phleum,commutatum,
Wet Meadow #2 - 2006,Phleum commutatum (alpinum),5/4/06,,,,,,,,,,wet meadow #2 - 2006,Phleum,commutatum,(alpinum),Phleum commutatum (alpinum),,yes,Phleum,commutatum,
wm21996,Phleum commutatum,5/10/96,,,,,,,,,,wm21996,Phleum,commutatum,,Phleum commutatum ,,no,,,
vr21987,Plantago,5/9/87,,,,,,,,,,vr21987,Plantago,,,Plantago  ,,,,,
int11989,Pneumonanthe  parryi,5/13/89,,,,,,,,,,int11989,Pneumonanthe,parryi,,Pneumonanthe parryi ,,no,,,
em2-1983,Poa  reflexa,6/8/83,,,,,,,,,,em2-1983,Poa,reflexa,,Poa reflexa ,,yes,Poa,sp.,
erythronium meadow #1 - 1999,Poa spp,5/21/99,,,,,,,,,,erythronium meadow #1 - 1999,Poa,spp,,Poa spp ,,yes,Poa,sp.,"P. pratense lately, but might be better sp."
erythronium meadow #1 - 2005,Poa (pratensis?),5/21/05,,,,,,,,,,erythronium meadow #1 - 2005,Poa,(pratensis?),,Poa (pratensis?) ,,yes,Poa,sp.,
int51984,Poa  ?,5/28/84,,,,,,,,,,int51984,Poa,?,,Poa ? ,,yes,Poa,sp.,
rm1-1983,Poa,6/7/83,,,,,,,,,,rm1-1983,Poa,,,Poa  ,,yes,Poa,sp.,
rm11996,Poa pratensis,5/10/96,,,,,,,,,,rm11996,Poa,pratensis,,Poa pratensis ,,yes,Poa,sp.,
rm31991,Poa  sp.,5/29/91,,,,,,,,,,rm31991,Poa,sp.,,Poa sp. ,,yes,Poa,sp.,
wet meadow #4 - 2004,Poa arctica (?),5/5/04,,,,,,,,,,wet meadow #4 - 2004,Poa,arctica,(?),Poa arctica (?),,yes,Poa,sp.,
wet meadow #5 - 1999,Poa (NOT pratensis),5/21/99,,,,,,,,,,wet meadow #5 - 1999,Poa,(NOT,pratensis),Poa (NOT pratensis),,yes,Poa,sp.,
willow-meadow interface #4 - 1998,Poa arctica,5/2/98,,,,,,,,,,willow-meadow interface #4 - 1998,Poa,arctica,,Poa arctica ,,yes,Poa,sp.
Willow-Meadow Interface Plot #4 - 2007,Poa sp.?,5/6/07,,,,,,,,,,willow-meadow interface plot #4 - 2007,Poa,sp.?,,Poa sp.? ,,yes,Poa,sp.
wet meadow #3 - 1997,Poa - very short stalks,5/18/97,,,,,,,,,,wet meadow #3 - 1997,Poa - very short stalks,Poa - very short stalks,Poa - very short stalks,Poa - very short stalks Poa - very short stalks Poa - very short stalks,,yes,Poa,sp.
Aspen Forest #9 - 2008,Poa (arctica? - very tall),5/31/08,,,,,,,,,,aspen forest #9 - 2008,Poa (arctica? - very tall),Poa (arctica? - very tall),Poa (arctica? - very tall),Poa (arctica? - very tall) Poa (arctica? - very tall) Poa (arctica? - very tall),,yes,Poa,sp.
willow-meadow interface #4 - 2002,"Poa pratensis (?; middle of plot, just west of Salix)",4/11/02,,,,,,,,,,willow-meadow interface #4 - 2002,"Poa pratensis (?; middle of plot, just west of Salix)","Poa pratensis (?; middle of plot, just west of Salix)","Poa pratensis (?; middle of plot, just west of Salix)","Poa pratensis (?; middle of plot, just west of Salix) Poa pratensis (?; middle of plot, just west of Salix) Poa pratensis (?; middle of plot, just west of Salix)",,yes,Poa,sp.
rocky meadow #8 - 2003,"Poa pratensis(?) - very tall, but not P. arctica",4/26/03,,,,,,,,,,rocky meadow #8 - 2003,"Poa pratensis(?) - very tall, but not P. arctica","Poa pratensis(?) - very tall, but not P. arctica","Poa pratensis(?) - very tall, but not P. arctica","Poa pratensis(?) - very tall, but not P. arctica Poa pratensis(?) - very tall, but not P. arctica Poa pratensis(?) - very tall, but not P. arctica",,yes,Poa,sp.
int41993,"Poa sp. #2, stiffer, taller, coarser",6/3/93,,,,,,,,,,int41993,"Poa sp. #2, stiffer, taller, coarser","Poa sp. #2, stiffer, taller, coarser","Poa sp. #2, stiffer, taller, coarser","Poa sp. #2, stiffer, taller, coarser Poa sp. #2, stiffer, taller, coarser Poa sp. #2, stiffer, taller, coarser",,yes,Poa,sp.
int41995,Poa species #2 - bigger glumes,6/10/95,,,,,,,,,,int41995,Poa species #2 - bigger glumes,Poa species #2 - bigger glumes,Poa species #2 - bigger glumes,Poa species #2 - bigger glumes Poa species #2 - bigger glumes Poa species #2 - bigger glumes,,yes,Poa,sp.
willow-meadow interface #2 - 1997,"Poa species? 3 feet tall, small flowers",5/18/97,,,,,,,,,,willow-meadow interface #2 - 1997,"Poa species? 3 feet tall, small flowers","Poa species? 3 feet tall, small flowers","Poa species? 3 feet tall, small flowers","Poa species? 3 feet tall, small flowers Poa species? 3 feet tall, small flowers Poa species? 3 feet tall, small flowers",,yes,Poa,sp.
Rocky Meadow #5 - updated September 2008_2006,Poa species?? - NE corner,4/28/06,,,,,,,,,,rocky meadow #5 - updated september 2008_2006,Poa species?? - NE corner,Poa species?? - NE corner,Poa species?? - NE corner,Poa species?? - NE corner Poa species?? - NE corner Poa species?? - NE corner,,yes,Poa,sp.
Willow-Meadow Interface Plot #4 - 2009,"Poa tracyi - ID by Jennifer Rudgers, July 2009",5/9/09,,,,,,,,,,willow-meadow interface plot #4 - 2009,"Poa tracyi - ID by Jennifer Rudgers, July 2009","Poa tracyi - ID by Jennifer Rudgers, July 2009","Poa tracyi - ID by Jennifer Rudgers, July 2009","Poa tracyi - ID by Jennifer Rudgers, July 2009 Poa tracyi - ID by Jennifer Rudgers, July 2009 Poa tracyi - ID by Jennifer Rudgers, July 2009",,yes,Poa,tracyi
rm3-1985,Poa?,5/30/85,,,,,,,,,,rm3-1985,Poa?,,,Poa?  ,,yes,Poa,sp.
wm41988,Poa?  reflexa?,5/31/88,,,,,,,,,,wm41988,Poa?,reflexa?,,Poa? reflexa? ,,yes,Poa,sp.
willow-meadow interface #4 - 1997,"Poa?  Fat flowers, inflorescence very spread out",5/18/97,,,,,,,,,,willow-meadow interface #4 - 1997,"Poa?  Fat flowers, inflorescence very spread out","Poa?  Fat flowers, inflorescence very spread out","Poa?  Fat flowers, inflorescence very spread out","Poa?  Fat flowers, inflorescence very spread out Poa?  Fat flowers, inflorescence very spread out Poa?  Fat flowers, inflorescence very spread out",,yes,Poa,sp.
rm7-1983,Poa(grass),6/7/83,,,,,,,,,,rm7-1983,Poa(grass),,,Poa(grass)  ,,yes,Poa,sp.
int41984,Polygonum  aviculare,5/28/84,,,,,,,,,,int41984,Polygonum,aviculare,,Polygonum aviculare ,,no,,
RM1-1973,Polygonum  douglasii,6/6/73,,,,,,,,,,rm1-1973,Polygonum,douglasii,,Polygonum douglasii ,,no,,,
Stream Plot #10 - 2009,Polygonum viviparum,5/9/09,,,,,,,,,,stream plot #10 - 2009,Polygonum,viviparum,,Polygonum viviparum ,,no,,,
RM1-1973,Potentilla  hippiana,6/6/73,,,,,,,,,,rm1-1973,Potentilla,hippiana,,Potentilla hippiana ,,no,,,
SB7-1973,Prunella  vulgaris,7/23/73,,,,,,,,,,sb7-1973,Prunella,vulgaris,,Prunella vulgaris ,,,,,1973 plot
RM9-1973,Pseudocymopterus  montanus,7/10/73,,,,16,,,,,,rm9-1973,Pseudocymopterus,montanus,,Pseudocymopterus montanus ,,no,,,
rm81993,purple aster,6/2/93,,,,,,,,,,rm81993,purple,aster,,purple aster ,,yes,,,
SB3-1973,Pyrola  asarifolia,6/20/73,,,,,,,,,,sb3-1973,Pyrola,asarifolia,,Pyrola asarifolia ,,,,,1973 plot
EM1-1974,Ranunculus inamoenus,5/26/74,,,,,,,,,,em1-1974,Ranunculus,inamoenus,,Ranunculus inamoenus ,,no,,,
RM3-1973,Rosa  woodsii,6/6/73,,,,,,,,,,rm3-1973,Rosa,woodsii,,Rosa woodsii ,,no,,,
INT1-1974,Salix,5/26/74,,,,,,,,,,int1-1974,Salix,,,Salix  ,,yes,Salix,monticola,
int31993,Salix sp.,6/3/93,,,,,male,,,,,int31993,Salix,sp.,,Salix sp. ,,yes,,,s/b ignored - David says this willow has never flowered within this plot
Wet Meadow #3 - 2008,Salix wolfii,6/6/08,,,,,,,no leaves out yet,,,wet meadow #3 - 2008,Salix,wolfii,,Salix wolfii ,,no,,,
willow-meadow interface #1 - 1997,Salix species,5/18/97,,,,,,,,,,willow-meadow interface #1 - 1997,Salix,species,,Salix species ,,yes,Salix,monticola,
willow-meadow interface #1 - 1998,Salix monticola,5/2/98,,,,,75 cm snow,,,,,willow-meadow interface #1 - 1998,Salix,monticola,,Salix monticola ,,no,,,
willow-meadow interface #2 - 1998,Salix brachycarpa,5/2/98,,,,,73 cm snow,,,,,willow-meadow interface #2 - 1998,Salix,brachycarpa,,Salix brachycarpa ,,no,,,
willow-meadow interface #4 - 1998,Salix geyeriana ,5/2/98,,,,,,,,,,willow-meadow interface #4 - 1998,Salix,geyeriana,,Salix geyeriana ,,no,,,
willow-meadow interface #4 - 1999,Salix drummondiana ,5/21/99,,,,,,,,,,willow-meadow interface #4 - 1999,Salix,drummondiana,,Salix drummondiana ,,no,,
willow-meadow interface #5,Salix brachycarpa (monticola?),5/10/96,,,,,"23"" of snow",,,,,willow-meadow interface #5,Salix,brachycarpa,(monticola?),Salix brachycarpa (monticola?),,yes,Salix,brachycarpa
Willow-Meadow Interface Plot #5 - 2008,Salix planifolia,6/10/08,,,,,100% snow,,,,,willow-meadow interface plot #5 - 2008,Salix,planifolia,,Salix planifolia ,,yes,Salix,brachycarpa
RM4-1973,Saxifraga  cernua,6/6/73,,,,,,,,,,rm4-1973,Saxifraga,cernua,,Saxifraga cernua ,,yes,Lithophragma,glabrum
RM4-1974,Saxifraga cornua,5/25/74,,,,,,,,,,rm4-1974,Saxifraga,cornua,,Saxifraga cornua ,,yes,Lithophragma,glabrum
SB5-1973,Saxifraga  arguta,7/10/73,,,,,,,,,,sb5-1973,Saxifraga,arguta,,Saxifraga arguta ,,yes,Lithophragma,glabrum
VB1-1973,Sedum  rosea,6/9/73,,,,,,,,,,vb1-1973,Sedum,rosea,,Sedum rosea ,,no,,
Aspen Forest #9 - 2007,Senecio pudicus,5/10/07,,,,,,,,,,aspen forest #9 - 2007,Senecio,pudicus,,Senecio pudicus ,,yes,Senecio,integerimus
Aspen Forest Plot #9 - 2006,Senecio pudica,4/30/06,,,,,,,,,,aspen forest plot #9 - 2006,Senecio,pudica,,Senecio pudica ,,yes,Senecio,integerimus
rm11987,Senecio  streptanthefolius??,5/5/87,,,,,,,,,,rm11987,Senecio,streptanthefolius??,,Senecio streptanthefolius?? ,,yes,Senecio,integerimus
rm11992,Senecio  low species,5/14/92,,,,,,,,,,rm11992,Senecio,low,species,Senecio low species,,yes,Senecio,integerimus
rm31994,Senecio  tall species,6/4/94,,,,,,,,,,rm31994,Senecio,tall,species,Senecio tall species,,yes,Senecio,integerimus
RM4-1973,Senecio,6/6/73,,,,,,,,,,rm4-1973,Senecio,,,Senecio  ,,yes,Senecio,integerimus
rm4-1980,Senecio  sp.,6/2/80,,,,,,,,,,rm4-1980,Senecio,sp.,,Senecio sp. ,,yes,Senecio,integerimus
RM5-1975,Senecio  mutabilis,6/3/75,,,,,,,,,,rm5-1975,Senecio,mutabilis,,Senecio mutabilis ,,yes,Senecio,integerimus
RM51976,Senecio  werneriaefolius? (short),6/5/76,,,,,,,,,,rm51976,Senecio,werneriaefolius?,(short),Senecio werneriaefolius? (short),,yes,Senecio,integerimus
rm61991,Senecio  werneriaefolius,5/29/91,,,,,,,,,,rm61991,Senecio,werneriaefolius,,Senecio werneriaefolius ,,yes,Senecio,integerimus,
rocky meadow #9 - 2003,Senecio serra,4/26/03,,,,,,,,,,rocky meadow #9 - 2003,Senecio,serra,,Senecio serra ,,no,,,
rocky meadow plot #4 - 1997,Senecio integerrimus,5/18/97,,,,,,,,,,rocky meadow plot #4 - 1997,Senecio,integerrimus,,Senecio integerrimus ,,no,,,
SB2-1973,Senecio  triangularis,6/20/73,,,,,,,,,,sb2-1973,Senecio,triangularis,,Senecio triangularis ,,no,,,
VB1-1973,Senecio  bigelovii,6/9/73,,,,,,,,,,vb1-1973,Senecio,bigelovii,,Senecio bigelovii ,,yes,Ligularia,bigelovii,
Veratrum Removal #2 - 2007,Sidalcea candida,4/28/07,,,,,,,,,,veratrum removal #2 - 2007,Sidalcea,candida,,Sidalcea candida ,,no,,,tracked outside of plot
rm3-1984,Silene  scouleri,5/27/84,,,,,,,,,,rm3-1984,Silene,scouleri,,Silene scouleri ,,yes,Silene,antirrhina,
rocky meadow #1 - 2001,Silene,3/27/01,,,,,,,,,,rocky meadow #1 - 2001,Silene,,,Silene  ,,yes,Silene,antirrhina,
rocky meadow #1 - 2003,Silene antirrhina,4/26/03,,,,,,,,,,rocky meadow #1 - 2003,Silene,antirrhina,,Silene antirrhina ,,no,,,
rocky meadow #4 - 2003,Silene antirrhina(?),4/26/03,,,,,,,,,,rocky meadow #4 - 2003,Silene,antirrhina(?),,Silene antirrhina(?) ,,yes,Silene,antirrhina,
rocky meadow #8 - 2000,Silene spp.,4/8/00,,,,,,,,,,rocky meadow #8 - 2000,Silene,spp.,,Silene spp. ,,yes,Silene,antirrhina,
WM2-1974,small white crucifer,5/26/74,,,,,,,,,,wm2-1974,small,white,crucifer,small white crucifer,,,,,
vr1-1982,"small, low, 5 white petals",6/2/82,,,,,,,,,,vr1-1982,"small, low, 5 white petals","small, low, 5 white petals","small, low, 5 white petals","small, low, 5 white petals small, low, 5 white petals small, low, 5 white petals",,,,,
RM8-1974,Smilacina racemosa,5/25/74,,,,,,,,,,rm8-1974,Smilacina,racemosa,,Smilacina racemosa ,,yes,Maianthemum,stellatum,
greenhouse plot #3 - 2000,Solidago multiradiata,4/8/00,,,,,,,,,,greenhouse plot #3 - 2000,Solidago,multiradiata,,Solidago multiradiata ,,no,,,
rm6-1985,spike grass,5/30/85,,,,,,,,,,rm6-1985,spike,grass,,spike grass ,,yes,Stipa,lettermanii,
wm2-1983,"spike, yellow anthers  (grass)",6/8/83,,,,,,,,,,wm2-1983,"spike, yellow anthers  (grass)","spike, yellow anthers  (grass)","spike, yellow anthers  (grass)","spike, yellow anthers  (grass) spike, yellow anthers  (grass) spike, yellow anthers  (grass)",,,,,
Stream (Calder) plot #1,Stellaria longifolia,6/10/04,,,2,,2,,,,,stream (calder) plot #1,Stellaria,longifolia,,Stellaria longifolia ,,no,,,
rm3-1983,Stipa,6/7/83,,,,,,,,,,rm3-1983,Stipa,,,Stipa  ,,yes,Stipa,lettermanii,
RM9-1983,Stipa  lettermanii?,6/7/83,,,,,,,,,,rm9-1983,Stipa,lettermanii?,,Stipa lettermanii? ,,yes,Stipa,lettermanii,
wm2-1983,Stipa  lettermani,6/8/83,,,,,,,,,,wm2-1983,Stipa,lettermani,,Stipa lettermani ,,yes,Stipa,lettermanii,
wm21996,Stipa nelsonii?,5/10/96,,,,,,,,,,wm21996,Stipa,nelsonii?,,Stipa nelsonii? ,,yes,Stipa,lettermanii,
wm41996,Stipa nelsoni (grass with long awns),5/10/96,,,,,,,,,,wm41996,Stipa nelsoni (grass with long awns),Stipa nelsoni (grass with long awns),Stipa nelsoni (grass with long awns),Stipa nelsoni (grass with long awns) Stipa nelsoni (grass with long awns) Stipa nelsoni (grass with long awns),,yes,Stipa,lettermanii,
gp21996,Stipa nelsoni?  long awns,5/10/96,,,,,,,,,,gp21996,Stipa nelsoni?  long awns,Stipa nelsoni?  long awns,Stipa nelsoni?  long awns,Stipa nelsoni?  long awns Stipa nelsoni?  long awns Stipa nelsoni?  long awns,,yes,Stipa,lettermanii,
wet meadow #2 - 2001,Stipa nelsonii (long awns),5/2/01,,,,,,,,,,wet meadow #2 - 2001,Stipa nelsonii (long awns),Stipa nelsonii (long awns),Stipa nelsonii (long awns),Stipa nelsonii (long awns) Stipa nelsonii (long awns) Stipa nelsonii (long awns),,yes,Stipa,lettermanii,
SB3-1973,Streptopus  amplexifolius,6/20/73,,,,,,,,,,sb3-1973,Streptopus,amplexifolius,,Streptopus amplexifolius ,,,,,1973 plot
WMS1-1973,Swertia  perennis,6/11/73,,,,,,,,,,wms1-1973,Swertia,perennis,,Swertia perennis ,,no,,,
rm9-1982,tall grass,6/1/82,,,,,,,,,,rm9-1982,tall,grass,,tall grass ,,,,,impossible to determine
RM1-1973,Taraxacum  officinale,6/6/73,,,,,,,,,,rm1-1973,Taraxacum,officinale,,Taraxacum officinale ,,no,,,
EM1-1974,Thalictrum fendleri,5/26/74,,,,,,,,,,em1-1974,Thalictrum,fendleri,,Thalictrum fendleri ,,no,,,
erythronium meadow #1 - 1999,Thlaspi,5/21/99,,,,,,,,,,erythronium meadow #1 - 1999,Thlaspi,,,Thlaspi  ,,yes,Noccaea,montana,
VB1-1973,Thlaspi  alpestre,6/9/73,,,35,,,,,,,vb1-1973,Thlaspi,alpestre,,Thlaspi alpestre ,,no,,,good species name - not in current data
Veratrum removal #1 - 2009,Thlaspi arvense,5/9/09,,,,,,,,,,veratrum removal #1 - 2009,Thlaspi,arvense,,Thlaspi arvense ,,no,,,good species name - not in current data; invasive in Gothic
rocky meadow #9 - 1999,"tight spike, 5-mm awns, NW corner",5/21/99,,,,,,,,,,rocky meadow #9 - 1999,"tight spike, 5-mm awns, NW corner","tight spike, 5-mm awns, NW corner","tight spike, 5-mm awns, NW corner","tight spike, 5-mm awns, NW corner tight spike, 5-mm awns, NW corner tight spike, 5-mm awns, NW corner",,yes,,,
WM2-1974,tiny yellow,5/26/74,,,,,,,,,,wm2-1974,tiny,yellow,,tiny yellow ,,,,,c/b Descurainia richardsonii
WM4-1974,tiny yellow crucifer,5/26/74,,,,,,,,,,wm4-1974,tiny,yellow,crucifer,tiny yellow crucifer,,,,,c/b Descurainia richardsonii
gp11991,Tragopogon  dubius,5/30/91,,,,,,,,,,gp11991,Tragopogon,dubius,,Tragopogon dubius ,,no,,,
Aspen Forest Plot #9 - 2006,Trifolium pratense,4/30/06,,,,,,,,,,aspen forest plot #9 - 2006,Trifolium,pratense,,Trifolium pratense ,,no,,,
Aspen Forest Plot #9 - 2006,Trifolium repens,4/30/06,,,,,,,,,,aspen forest plot #9 - 2006,Trifolium,repens,,Trifolium repens ,,no,,,
SB7-1973,Trifolium  longipes,7/23/73,,1,,,,,,,,sb7-1973,Trifolium,longipes,,Trifolium longipes ,,,,,1973 plot
vr21995,Trifolium  hybridum,6/10/95,,,,,,,,,,vr21995,Trifolium,hybridum,,Trifolium hybridum ,,no,,,
greenhouse plot #3 - 2000,Trisetum spicatum,4/8/00,,,,,,,,,,greenhouse plot #3 - 2000,Trisetum,spicatum,,Trisetum spicatum ,,no,,,
RM9-1983,Trisetum,6/7/83,,,,,,,,,,rm9-1983,Trisetum,,,Trisetum  ,,yes,Trisetum,spicatum,
rocky meadow #8 - 2000,Trisetum ssp.,4/8/00,,,,,,,,,,rocky meadow #8 - 2000,Trisetum,ssp.,,Trisetum ssp. ,,yes,Trisetum,spicatum,
willow-meadow interface #5 - 2003,Trisetum spicatrum,5/15/03,,,,,,,,,,willow-meadow interface #5 - 2003,Trisetum,spicatrum,,Trisetum spicatrum ,,yes,Trisetum,spicatum,
greenhouse plot #3 - 2003,Trisetum spicatum - lots of short awns; west side,4/30/03,,,,,,,,,,greenhouse plot #3 - 2003,Trisetum spicatum - lots of short awns; west side,Trisetum spicatum - lots of short awns; west side,Trisetum spicatum - lots of short awns; west side,Trisetum spicatum - lots of short awns; west side Trisetum spicatum - lots of short awns; west side Trisetum spicatum - lots of short awns; west side,,yes,Trisetum,spicatum,
SB2-1973,Trollius  laxus,6/20/73,,,9,,,,,,,sb2-1973,Trollius,laxus,,Trollius laxus ,,,,,1973 plot
rm81991,umbel  just outside S corner,5/29/91,,,,,,,,,,rm81991,umbel  just outside S corner,umbel  just outside S corner,umbel  just outside S corner,umbel  just outside S corner umbel  just outside S corner umbel  just outside S corner,,yes,,,impossible to determine - not in plot
greenhouse plot #2 - 1997,unknown #1,5/18/97,,,,,,,,,,greenhouse plot #2 - 1997,unknown,#1,,unknown #1 ,,yes,,,
int51987,"unknown, yellow flower, tiny plant",5/9/87,,,,,,,,,,int51987,"unknown, yellow flower, tiny plant","unknown, yellow flower, tiny plant","unknown, yellow flower, tiny plant","unknown, yellow flower, tiny plant unknown, yellow flower, tiny plant unknown, yellow flower, tiny plant",,,,,impossible to determine
EM1-1974,Valeriana edulis,5/26/74,,,,,,,,,,em1-1974,Valeriana,edulis,,Valeriana edulis ,,no,,,
em11989,Valeriana  capitata,5/13/89,,,,,,,,,,em11989,Valeriana,capitata,,Valeriana capitata ,,no,,,
RM8-1975,Valeriana,6/3/75,,,,,,,,,,rm8-1975,Valeriana,,,Valeriana  ,,yes,Valeriana,edulis,
VB1-1973,Valeriana  acutiloba,6/9/73,,,,,,,,,,vb1-1973,Valeriana,acutiloba,,Valeriana acutiloba ,,yes,Valeriana,capitata,
wet meadow #3 - 2000,Valeriana occidentalis,4/8/00,,,,,,,,,,wet meadow #3 - 2000,Valeriana,occidentalis,,Valeriana occidentalis ,,no,,,
WM11975,Valeriana  (edulis?),6/3/75,,,,,,,,,,wm11975,Valeriana,(edulis?),,Valeriana (edulis?) ,,yes,Valeriana,edulis,
wm1-1983,Valeriana  acutiloba / edulis,6/8/83,,,,,,,,,,wm1-1983,Valeriana  acutiloba / edulis,Valeriana  acutiloba / edulis,Valeriana  acutiloba / edulis,Valeriana  acutiloba / edulis Valeriana  acutiloba / edulis Valeriana  acutiloba / edulis,,yes,Valeriana,capitata,
erythronium meadow #1 - 1997,Veratrum tenuipetalum,5/18/97,,,,,,,,,,erythronium meadow #1 - 1997,Veratrum,tenuipetalum,,Veratrum tenuipetalum ,,no,,,
RM2-1973,Vicia  americana,6/6/73,,,,,,,,,,rm2-1973,Vicia,americana,,Vicia americana ,,no,,,
Aspen Forest Plot #9 - 2006,Viola praemorsa,4/30/06,,,,,,,,,,aspen forest plot #9 - 2006,Viola,praemorsa,,Viola praemorsa ,,no,,,
greenhouse plot #2 - 1997,Viola,5/18/97,,,,,,,,,,greenhouse plot #2 - 1997,Viola,,,Viola  ,,yes,Viola,praemorsa,
rocky meadow #4 - 2004,Viola adunca,4/29/04,,,,,,,,,,rocky meadow #4 - 2004,Viola,adunca,,Viola adunca ,,no,,,tracked outside of plots now
wm2-1980,Viola  nutallii,6/3/80,,,,,,,,,,wm2-1980,Viola,nutallii,,Viola nutallii ,,yes,Viola,praemorsa,
em1-1983,Wheat,6/8/83,,,,,,,,,,em1-1983,Wheat,,,Wheat  ,,yes,Elymus,trachycaulis,
wm11992,wheat grass,5/26/92,,,,,,,,,,wm11992,wheat,grass,,wheat grass ,,yes,Elymus,trachycaulis
