"givenname","sp1","sp2","sp3","latbi"
"Chenopodium alba","Chenopodium","alba","","Chenopodium alba "
"Elymus spp. (squirrel tail)","Elymus spp. (squirrel tail)","Elymus spp. (squirrel tail)","Elymus spp. (squirrel tail)","Elymus spp. (squirrel tail) Elymus spp. (squirrel tail) Elymus spp. (squirrel tail)"
"Poa (NOT pratensis)","Poa","(NOT","pratensis)","Poa (NOT pratensis)"
"Bromopsis spp. (smooth)","Bromopsis","spp.","(smooth)","Bromopsis spp. (smooth)"
"Haplopappus parryi (Kathy identified initially as Solidago spatulatha)","Haplopappus parryi (Kathy identified initially as Solidago spatulatha)","Haplopappus parryi (Kathy identified initially as Solidago spatulatha)","Haplopappus parryi (Kathy identified initially as Solidago spatulatha)","Haplopappus parryi (Kathy identified initially as Solidago spatulatha) Haplopappus parryi (Kathy identified initially as Solidago spatulatha) Haplopappus parryi (Kathy identified initially as Solidago spatulatha)"
"Agropyron spp.","Agropyron","spp.","","Agropyron spp. "
"giant Poa?  Fat flowers, inflorescence very spread out, NW corner","giant Poa?  Fat flowers, inflorescence very spread out, NW corner","giant Poa?  Fat flowers, inflorescence very spread out, NW corner","giant Poa?  Fat flowers, inflorescence very spread out, NW corner","giant Poa?  Fat flowers, inflorescence very spread out, NW corner giant Poa?  Fat flowers, inflorescence very spread out, NW corner giant Poa?  Fat flowers, inflorescence very spread out, NW corner"
"Salix drummondiana ","Salix","drummondiana","","Salix drummondiana "
"Aster foliacous","Aster","foliacous","","Aster foliacous "
"Chenopodium spp","Chenopodium","spp","","Chenopodium spp "
"grass - tight long spike with lots of small white anthers, medium awns, middle f plot","grass - tight long spike with lots of small white anthers, medium awns, middle f plot","grass - tight long spike with lots of small white anthers, medium awns, middle f plot","grass - tight long spike with lots of small white anthers, medium awns, middle f plot","grass - tight long spike with lots of small white anthers, medium awns, middle f plot grass - tight long spike with lots of small white anthers, medium awns, middle f plot grass - tight long spike with lots of small white anthers, medium awns, middle f plot"
"Heracleum fendleri","Heracleum","fendleri","","Heracleum fendleri "
"Elymus trachycaulus","Elymus","trachycaulus","","Elymus trachycaulus "
"Phleum or Alopoceurus","Phleum","or","Alopoceurus","Phleum or Alopoceurus"
"Rananculus inamoenus","Rananculus","inamoenus","","Rananculus inamoenus "
"Feather grass - pearl grass?","Feather grass - pearl grass?","Feather grass - pearl grass?","Feather grass - pearl grass?","Feather grass - pearl grass? Feather grass - pearl grass? Feather grass - pearl grass?"
"Bromopsis ssp. (fuzzy, purple)","Bromopsis ssp. (fuzzy, purple)","Bromopsis ssp. (fuzzy, purple)","Bromopsis ssp. (fuzzy, purple)","Bromopsis ssp. (fuzzy, purple) Bromopsis ssp. (fuzzy, purple) Bromopsis ssp. (fuzzy, purple)"
"Carex spp. (dark) ","Carex","spp.","(dark)","Carex spp. (dark)"
"Cirsium ssp.","Cirsium","ssp.","","Cirsium ssp. "
"Festuca thurberi","Festuca","thurberi","","Festuca thurberi "
"Solidago multiradiata","Solidago","multiradiata","","Solidago multiradiata "
"Trisetum spicatum","Trisetum","spicatum","","Trisetum spicatum "
"Viguera multiflora","Viguera","multiflora","","Viguera multiflora "
"Ligularia bigelovii","Ligularia","bigelovii","","Ligularia bigelovii "
"Ligusticum porter","Ligusticum","porter","","Ligusticum porter "
"Heterotheca fulcrata","Heterotheca","fulcrata","","Heterotheca fulcrata "
"Koelaria macrantha","Koelaria","macrantha","","Koelaria macrantha "
"Arabis spp. (pink flowers)","Arabis spp. (pink flowers)","Arabis spp. (pink flowers)","Arabis spp. (pink flowers)","Arabis spp. (pink flowers) Arabis spp. (pink flowers) Arabis spp. (pink flowers)"
"Agropyron ssp.","Agropyron","ssp.","","Agropyron ssp. "
"Carex spp.","Carex","spp.","","Carex spp. "
"Conioselenium ssp.","Conioselenium","ssp.","","Conioselenium ssp. "
"Heracleum sphondylium","Heracleum","sphondylium","","Heracleum sphondylium "
"Silene spp.","Silene","spp.","","Silene spp. "
"Trisetum ssp.","Trisetum","ssp.","","Trisetum ssp. "
"(Elymus glauca) tight spike, 5-mm awns, NW corner","(Elymus glauca) tight spike, 5-mm awns, NW corner","(Elymus glauca) tight spike, 5-mm awns, NW corner","(Elymus glauca) tight spike, 5-mm awns, NW corner","(Elymus glauca) tight spike, 5-mm awns, NW corner (Elymus glauca) tight spike, 5-mm awns, NW corner (Elymus glauca) tight spike, 5-mm awns, NW corner"
"Bromus spp.","Bromus","spp.","","Bromus spp. "
"Geranium viscosissimum (pink flowers)","Geranium viscosissimum (pink flowers)","Geranium viscosissimum (pink flowers)","Geranium viscosissimum (pink flowers)","Geranium viscosissimum (pink flowers) Geranium viscosissimum (pink flowers) Geranium viscosissimum (pink flowers)"
"Descurania richardsonii","Descurania","richardsonii","","Descurania richardsonii "
"Taraxacum officionale","Taraxacum","officionale","","Taraxacum officionale "
"Elymus ssp.","Elymus","ssp.","","Elymus ssp. "
"Geranium richardsonii.1","Geranium","richardsonii.1","","Geranium richardsonii.1 "
"Valeriana occidentalis","Valeriana","occidentalis","","Valeriana occidentalis "
"Bromopsis ssp. (purple, furry)","Bromopsis ssp. (purple, furry)","Bromopsis ssp. (purple, furry)","Bromopsis ssp. (purple, furry)","Bromopsis ssp. (purple, furry) Bromopsis ssp. (purple, furry) Bromopsis ssp. (purple, furry)"
"Heterotheca multiflora","Heterotheca","multiflora","","Heterotheca multiflora "
"Potentilla pulcherrima ","Potentilla","pulcherrima","","Potentilla pulcherrima "
"Pseudocymoterus montanus","Pseudocymoterus","montanus","","Pseudocymoterus montanus "
"Viguieria multiflora","Viguieria","multiflora","","Viguieria multiflora "
"Silene","Silene","","","Silene  "
"Festuca rubra","Festuca","rubra","","Festuca rubra "
"Elymus glaucus (tight spike, 5-mm awns, NW corner)","Elymus glaucus (tight spike, 5-mm awns, NW corner)","Elymus glaucus (tight spike, 5-mm awns, NW corner)","Elymus glaucus (tight spike, 5-mm awns, NW corner)","Elymus glaucus (tight spike, 5-mm awns, NW corner) Elymus glaucus (tight spike, 5-mm awns, NW corner) Elymus glaucus (tight spike, 5-mm awns, NW corner)"
"Carex (not geyeri)","Carex","(not","geyeri)","Carex (not geyeri)"
"Stipa nelsonii (long awns)","Stipa nelsonii (long awns)","Stipa nelsonii (long awns)","Stipa nelsonii (long awns)","Stipa nelsonii (long awns) Stipa nelsonii (long awns) Stipa nelsonii (long awns)"
"Carex sp.","Carex","sp.","","Carex sp. "
"Geranium richarsoni","Geranium","richarsoni","","Geranium richarsoni "
"Pedicularis grayii - about 4 m east of plot","Pedicularis grayii - about 4 m east of plot","Pedicularis grayii - about 4 m east of plot","Pedicularis grayii - about 4 m east of plot","Pedicularis grayii - about 4 m east of plot Pedicularis grayii - about 4 m east of plot Pedicularis grayii - about 4 m east of plot"
"Salix drummondiana and Salix monticola","Salix drummondiana and Salix monticola","Salix drummondiana and Salix monticola","Salix drummondiana and Salix monticola","Salix drummondiana and Salix monticola Salix drummondiana and Salix monticola Salix drummondiana and Salix monticola"
"Agoseris glauca.1","Agoseris","glauca.1","","Agoseris glauca.1 "
"Potentilla fruticosa - 1 meter to NE of plot","Potentilla fruticosa - 1 meter to NE of plot","Potentilla fruticosa - 1 meter to NE of plot","Potentilla fruticosa - 1 meter to NE of plot","Potentilla fruticosa - 1 meter to NE of plot Potentilla fruticosa - 1 meter to NE of plot Potentilla fruticosa - 1 meter to NE of plot"
"grass - tight head, many small anthers, awns about 2 mm","grass - tight head, many small anthers, awns about 2 mm","grass - tight head, many small anthers, awns about 2 mm","grass - tight head, many small anthers, awns about 2 mm","grass - tight head, many small anthers, awns about 2 mm grass - tight head, many small anthers, awns about 2 mm grass - tight head, many small anthers, awns about 2 mm"
"Lonicera involucrata (outside plot 1.5 m to north)","Lonicera involucrata (outside plot 1.5 m to north)","Lonicera involucrata (outside plot 1.5 m to north)","Lonicera involucrata (outside plot 1.5 m to north)","Lonicera involucrata (outside plot 1.5 m to north) Lonicera involucrata (outside plot 1.5 m to north) Lonicera involucrata (outside plot 1.5 m to north)"
"Thlaspi montahum","Thlaspi","montahum","","Thlaspi montahum "
"grass - giant Poa? About 2 feet tall, NE corner","grass - giant Poa? About 2 feet tall, NE corner","grass - giant Poa? About 2 feet tall, NE corner","grass - giant Poa? About 2 feet tall, NE corner","grass - giant Poa? About 2 feet tall, NE corner grass - giant Poa? About 2 feet tall, NE corner grass - giant Poa? About 2 feet tall, NE corner"
"Poa pratensis (?; middle of plot, just west of Salix)","Poa pratensis (?; middle of plot, just west of Salix)","Poa pratensis (?; middle of plot, just west of Salix)","Poa pratensis (?; middle of plot, just west of Salix)","Poa pratensis (?; middle of plot, just west of Salix) Poa pratensis (?; middle of plot, just west of Salix) Poa pratensis (?; middle of plot, just west of Salix)"
"Cirsium - yellow flowers","Cirsium - yellow flowers","Cirsium - yellow flowers","Cirsium - yellow flowers","Cirsium - yellow flowers Cirsium - yellow flowers Cirsium - yellow flowers"
"Elymus (Agropyron) trachycaulus - wild rye","Elymus (Agropyron) trachycaulus - wild rye","Elymus (Agropyron) trachycaulus - wild rye","Elymus (Agropyron) trachycaulus - wild rye","Elymus (Agropyron) trachycaulus - wild rye Elymus (Agropyron) trachycaulus - wild rye Elymus (Agropyron) trachycaulus - wild rye"
"Achnatherum (Stipa) lettermanii - needlegrass (long awns)","Achnatherum (Stipa) lettermanii - needlegrass (long awns)","Achnatherum (Stipa) lettermanii - needlegrass (long awns)","Achnatherum (Stipa) lettermanii - needlegrass (long awns)","Achnatherum (Stipa) lettermanii - needlegrass (long awns) Achnatherum (Stipa) lettermanii - needlegrass (long awns) Achnatherum (Stipa) lettermanii - needlegrass (long awns)"
"Tragopogon","Tragopogon","","","Tragopogon  "
"Ceratochloa (Bromus) carinatus","Ceratochloa","(Bromus)","carinatus","Ceratochloa (Bromus) carinatus"
"Lupinus (smaller flowers, more purple)","Lupinus (smaller flowers, more purple)","Lupinus (smaller flowers, more purple)","Lupinus (smaller flowers, more purple)","Lupinus (smaller flowers, more purple) Lupinus (smaller flowers, more purple) Lupinus (smaller flowers, more purple)"
"Trisetum spicatum - lots of short awns; west side","Trisetum spicatum - lots of short awns; west side","Trisetum spicatum - lots of short awns; west side","Trisetum spicatum - lots of short awns; west side","Trisetum spicatum - lots of short awns; west side Trisetum spicatum - lots of short awns; west side Trisetum spicatum - lots of short awns; west side"
"Delphinium nuttallianum","Delphinium","nuttallianum","","Delphinium nuttallianum "
"Silene antirrhina","Silene","antirrhina","","Silene antirrhina "
"Elymus longifolius - squirreltail grass, northwest corner of plot","Elymus longifolius - squirreltail grass, northwest corner of plot","Elymus longifolius - squirreltail grass, northwest corner of plot","Elymus longifolius - squirreltail grass, northwest corner of plot","Elymus longifolius - squirreltail grass, northwest corner of plot Elymus longifolius - squirreltail grass, northwest corner of plot Elymus longifolius - squirreltail grass, northwest corner of plot"
"Festuca thurberi - bunch grass","Festuca thurberi - bunch grass","Festuca thurberi - bunch grass","Festuca thurberi - bunch grass","Festuca thurberi - bunch grass Festuca thurberi - bunch grass Festuca thurberi - bunch grass"
"Koelaria micrantha - no obvious awn, inconspicuous anthers, middle of south side of plot","Koelaria micrantha - no obvious awn, inconspicuous anthers, middle of south side of plot","Koelaria micrantha - no obvious awn, inconspicuous anthers, middle of south side of plot","Koelaria micrantha - no obvious awn, inconspicuous anthers, middle of south side of plot","Koelaria micrantha - no obvious awn, inconspicuous anthers, middle of south side of plot Koelaria micrantha - no obvious awn, inconspicuous anthers, middle of south side of plot Koelaria micrantha - no obvious awn, inconspicuous anthers, middle of south side of plot"
"Polygonum Douglasii","Polygonum","Douglasii","","Polygonum Douglasii "
"Silene antirrhina(?)","Silene","antirrhina(?)","","Silene antirrhina(?) "
"Delphinium nutallianum","Delphinium","nutallianum","","Delphinium nutallianum "
"Erigeron flagellaris.1","Erigeron","flagellaris.1","","Erigeron flagellaris.1 "
"Poa pratensis(?) - very tall, but not P. arctica","Poa pratensis(?) - very tall, but not P. arctica","Poa pratensis(?) - very tall, but not P. arctica","Poa pratensis(?) - very tall, but not P. arctica","Poa pratensis(?) - very tall, but not P. arctica Poa pratensis(?) - very tall, but not P. arctica Poa pratensis(?) - very tall, but not P. arctica"
"Senecio serra","Senecio","serra","","Senecio serra "
"Lupinus argenteus (small flowers)","Lupinus argenteus (small flowers)","Lupinus argenteus (small flowers)","Lupinus argenteus (small flowers)","Lupinus argenteus (small flowers) Lupinus argenteus (small flowers) Lupinus argenteus (small flowers)"
"Pedicularis procera (grayi), about 4 m away","Pedicularis procera (grayi), about 4 m away","Pedicularis procera (grayi), about 4 m away","Pedicularis procera (grayi), about 4 m away","Pedicularis procera (grayi), about 4 m away Pedicularis procera (grayi), about 4 m away Pedicularis procera (grayi), about 4 m away"
"Trisetum spicatrum","Trisetum","spicatrum","","Trisetum spicatrum "
"Cirsium (common yellow)","Cirsium","(common","yellow)","Cirsium (common yellow)"
"Ceratochloa (Bromus) carinata","Ceratochloa","(Bromus)","carinata","Ceratochloa (Bromus) carinata"
"Gayophytum?","Gayophytum?","","","Gayophytum?  "
"Bromopsis pumpelliana (?)","Bromopsis","pumpelliana","(?)","Bromopsis pumpelliana (?)"
"Erigeron coulteri, between this plot and Interface 3","Erigeron coulteri, between this plot and Interface 3","Erigeron coulteri, between this plot and Interface 3","Erigeron coulteri, between this plot and Interface 3","Erigeron coulteri, between this plot and Interface 3 Erigeron coulteri, between this plot and Interface 3 Erigeron coulteri, between this plot and Interface 3"
"Achnatherum (Stipa) lettermanii - needlegrass","Achnatherum (Stipa) lettermanii - needlegrass","Achnatherum (Stipa) lettermanii - needlegrass","Achnatherum (Stipa) lettermanii - needlegrass","Achnatherum (Stipa) lettermanii - needlegrass Achnatherum (Stipa) lettermanii - needlegrass Achnatherum (Stipa) lettermanii - needlegrass"
"Geum triflorum","Geum","triflorum","","Geum triflorum "
"Osmorhiza occidentalis","Osmorhiza","occidentalis","","Osmorhiza occidentalis "
"Koeleria micrantha ","Koeleria","micrantha","","Koeleria micrantha "
"Amerosedum lanceolatum","Amerosedum","lanceolatum","","Amerosedum lanceolatum "
"Phacelia heterophylla","Phacelia","heterophylla","","Phacelia heterophylla "
"Elymus longifolius","Elymus","longifolius","","Elymus longifolius "
"Elymus (Agropyron) trachycaulus","Elymus","(Agropyron)","trachycaulus","Elymus (Agropyron) trachycaulus"
"Festuca pratensis (?)","Festuca","pratensis","(?)","Festuca pratensis (?)"
"Viola adunca","Viola","adunca","","Viola adunca "
"Muhlenbergia species (a C4 grass) ","Muhlenbergia species (a C4 grass) ","Muhlenbergia species (a C4 grass) ","Muhlenbergia species (a C4 grass) ","Muhlenbergia species (a C4 grass)  Muhlenbergia species (a C4 grass)  Muhlenbergia species (a C4 grass) "
"Epilobium (?) species just outside plot to N; get it next year","Epilobium (?) species just outside plot to N; get it next year","Epilobium (?) species just outside plot to N; get it next year","Epilobium (?) species just outside plot to N; get it next year","Epilobium (?) species just outside plot to N; get it next year Epilobium (?) species just outside plot to N; get it next year Epilobium (?) species just outside plot to N; get it next year"
"Cirsium - yellow flowered, common in townsite","Cirsium - yellow flowered, common in townsite","Cirsium - yellow flowered, common in townsite","Cirsium - yellow flowered, common in townsite","Cirsium - yellow flowered, common in townsite Cirsium - yellow flowered, common in townsite Cirsium - yellow flowered, common in townsite"
"Gentianopsis thermalis","Gentianopsis","thermalis","","Gentianopsis thermalis "
"Geum - maybe not triflorum?  ","Geum - maybe not triflorum?  ","Geum - maybe not triflorum?  ","Geum - maybe not triflorum?  ","Geum - maybe not triflorum?   Geum - maybe not triflorum?   Geum - maybe not triflorum?  "
"Mimulus guttatus","Mimulus","guttatus","","Mimulus guttatus "
"Platanthera (Habenaria) hyperborea","Platanthera","(Habenaria)","hyperborea","Platanthera (Habenaria) hyperborea"
"Stellaria longifolia","Stellaria","longifolia","","Stellaria longifolia "
"Carex (not geyeri - stigmas shorter)","Carex (not geyeri - stigmas shorter)","Carex (not geyeri - stigmas shorter)","Carex (not geyeri - stigmas shorter)","Carex (not geyeri - stigmas shorter) Carex (not geyeri - stigmas shorter) Carex (not geyeri - stigmas shorter)"
"Elymus trachycaulis","Elymus","trachycaulis","","Elymus trachycaulis "
"Poa arctica (?)","Poa","arctica","(?)","Poa arctica (?)"
"Chamerion danielsii (Epilobium angustifolium)","Chamerion danielsii (Epilobium angustifolium)","Chamerion danielsii (Epilobium angustifolium)","Chamerion danielsii (Epilobium angustifolium)","Chamerion danielsii (Epilobium angustifolium) Chamerion danielsii (Epilobium angustifolium) Chamerion danielsii (Epilobium angustifolium)"
"Ceratochloa (Bromopsis) carinata","Ceratochloa","(Bromopsis)","carinata","Ceratochloa (Bromopsis) carinata"
"Elymus thurberi","Elymus","thurberi","","Elymus thurberi "
"Poa (pratensis?)","Poa","(pratensis?)","","Poa (pratensis?) "
"Bromopsis pumpelliana","Bromopsis","pumpelliana","","Bromopsis pumpelliana "
"Lupinus argenteus (smaller flowers)","Lupinus argenteus (smaller flowers)","Lupinus argenteus (smaller flowers)","Lupinus argenteus (smaller flowers)","Lupinus argenteus (smaller flowers) Lupinus argenteus (smaller flowers) Lupinus argenteus (smaller flowers)"
"Bromopsis inermis","Bromopsis","inermis","","Bromopsis inermis "
"Koelaria micrantha - no obvious awn, inconspicuous anthers","Koelaria micrantha - no obvious awn, inconspicuous anthers","Koelaria micrantha - no obvious awn, inconspicuous anthers","Koelaria micrantha - no obvious awn, inconspicuous anthers","Koelaria micrantha - no obvious awn, inconspicuous anthers Koelaria micrantha - no obvious awn, inconspicuous anthers Koelaria micrantha - no obvious awn, inconspicuous anthers"
"Koelaria micrantha, southwest corner","Koelaria micrantha, southwest corner","Koelaria micrantha, southwest corner","Koelaria micrantha, southwest corner","Koelaria micrantha, southwest corner Koelaria micrantha, southwest corner Koelaria micrantha, southwest corner"
"Gayophytum","Gayophytum","","","Gayophytum  "
"Koelaria micrantha - no obvious awn, inconspicuous anthers, west side","Koelaria micrantha - no obvious awn, inconspicuous anthers, west side","Koelaria micrantha - no obvious awn, inconspicuous anthers, west side","Koelaria micrantha - no obvious awn, inconspicuous anthers, west side","Koelaria micrantha - no obvious awn, inconspicuous anthers, west side Koelaria micrantha - no obvious awn, inconspicuous anthers, west side Koelaria micrantha - no obvious awn, inconspicuous anthers, west side"
"Senecio integerrimus.1","Senecio","integerrimus.1","","Senecio integerrimus.1 "
"Epilobium brachycarpum, 75 cm outside","Epilobium brachycarpum, 75 cm outside","Epilobium brachycarpum, 75 cm outside","Epilobium brachycarpum, 75 cm outside","Epilobium brachycarpum, 75 cm outside Epilobium brachycarpum, 75 cm outside Epilobium brachycarpum, 75 cm outside"
"grass - very short Poa?","grass - very short Poa?","grass - very short Poa?","grass - very short Poa?","grass - very short Poa? grass - very short Poa? grass - very short Poa?"
"Limnorchis (Habenaria) hyperborea","Limnorchis","(Habenaria)","hyperborea","Limnorchis (Habenaria) hyperborea"
"Salix brachycarpa (?) South side","Salix brachycarpa (?) South side","Salix brachycarpa (?) South side","Salix brachycarpa (?) South side","Salix brachycarpa (?) South side Salix brachycarpa (?) South side Salix brachycarpa (?) South side"
"Salix wolfii (?)","Salix","wolfii","(?)","Salix wolfii (?)"
"Cirsium - yellow; outside plot","Cirsium - yellow; outside plot","Cirsium - yellow; outside plot","Cirsium - yellow; outside plot","Cirsium - yellow; outside plot Cirsium - yellow; outside plot Cirsium - yellow; outside plot"
"Brompsis pumpelliana (?)","Brompsis","pumpelliana","(?)","Brompsis pumpelliana (?)"
"Collomia linearis.1","Collomia","linearis.1","","Collomia linearis.1 "
"Heuchera parviflora","Heuchera","parviflora","","Heuchera parviflora "
"Pentaphylloides (Potentilla, Dasiphora) fruticosa (plant just outside plot to NW)","Pentaphylloides (Potentilla, Dasiphora) fruticosa (plant just outside plot to NW)","Pentaphylloides (Potentilla, Dasiphora) fruticosa (plant just outside plot to NW)","Pentaphylloides (Potentilla, Dasiphora) fruticosa (plant just outside plot to NW)","Pentaphylloides (Potentilla, Dasiphora) fruticosa (plant just outside plot to NW) Pentaphylloides (Potentilla, Dasiphora) fruticosa (plant just outside plot to NW) Pentaphylloides (Potentilla, Dasiphora) fruticosa (plant just outside plot to NW)"
"Bromelica (Melica) spectabilis","Bromelica","(Melica)","spectabilis","Bromelica (Melica) spectabilis"
"Pedicularis procera (grayi)","Pedicularis","procera","(grayi)","Pedicularis procera (grayi)"
"Senecio pudica","Senecio","pudica","","Senecio pudica "
"Trifolium pratense","Trifolium","pratense","","Trifolium pratense "
"Trifolium repens","Trifolium","repens","","Trifolium repens "
"Viola praemorsa","Viola","praemorsa","","Viola praemorsa "
"Heracleum maximum","Heracleum","maximum","","Heracleum maximum "
"Elymus (Agropyron) trachycaulus - slender wheatgrass","Elymus (Agropyron) trachycaulus - slender wheatgrass","Elymus (Agropyron) trachycaulus - slender wheatgrass","Elymus (Agropyron) trachycaulus - slender wheatgrass","Elymus (Agropyron) trachycaulus - slender wheatgrass Elymus (Agropyron) trachycaulus - slender wheatgrass Elymus (Agropyron) trachycaulus - slender wheatgrass"
"Noccea montana","Noccea","montana","","Noccea montana "
"Potentilla pulcherrima x P. hippiana","Potentilla pulcherrima x P. hippiana","Potentilla pulcherrima x P. hippiana","Potentilla pulcherrima x P. hippiana","Potentilla pulcherrima x P. hippiana Potentilla pulcherrima x P. hippiana Potentilla pulcherrima x P. hippiana"
"Carex illota??  microptera??","Carex","illota??","microptera??","Carex illota?? microptera??"
"Gayophytum ramosissimum","Gayophytum","ramosissimum","","Gayophytum ramosissimum "
"Potentilla pulcherrima X hippiana","Potentilla pulcherrima X hippiana","Potentilla pulcherrima X hippiana","Potentilla pulcherrima X hippiana","Potentilla pulcherrima X hippiana Potentilla pulcherrima X hippiana Potentilla pulcherrima X hippiana"
"Cirsium - white flowers, about 38 cm tall","Cirsium - white flowers, about 38 cm tall","Cirsium - white flowers, about 38 cm tall","Cirsium - white flowers, about 38 cm tall","Cirsium - white flowers, about 38 cm tall Cirsium - white flowers, about 38 cm tall Cirsium - white flowers, about 38 cm tall"
"Erythrocoma triflora","Erythrocoma","triflora","","Erythrocoma triflora "
"Arenaria congesta","Arenaria","congesta","","Arenaria congesta "
"Koelaria macrantha - no obvious awn, inconspicuous anthers","Koelaria macrantha - no obvious awn, inconspicuous anthers","Koelaria macrantha - no obvious awn, inconspicuous anthers","Koelaria macrantha - no obvious awn, inconspicuous anthers","Koelaria macrantha - no obvious awn, inconspicuous anthers Koelaria macrantha - no obvious awn, inconspicuous anthers Koelaria macrantha - no obvious awn, inconspicuous anthers"
"Viola praetorum","Viola","praetorum","","Viola praetorum "
"Koelaria macrantha - no obvious awn, inconspicuous anthers, middle of south side of plot","Koelaria macrantha - no obvious awn, inconspicuous anthers, middle of south side of plot","Koelaria macrantha - no obvious awn, inconspicuous anthers, middle of south side of plot","Koelaria macrantha - no obvious awn, inconspicuous anthers, middle of south side of plot","Koelaria macrantha - no obvious awn, inconspicuous anthers, middle of south side of plot Koelaria macrantha - no obvious awn, inconspicuous anthers, middle of south side of plot Koelaria macrantha - no obvious awn, inconspicuous anthers, middle of south side of plot"
"Koelaria macrantha, southwest corner","Koelaria macrantha, southwest corner","Koelaria macrantha, southwest corner","Koelaria macrantha, southwest corner","Koelaria macrantha, southwest corner Koelaria macrantha, southwest corner Koelaria macrantha, southwest corner"
"Poa species?? - NE corner","Poa species?? - NE corner","Poa species?? - NE corner","Poa species?? - NE corner","Poa species?? - NE corner Poa species?? - NE corner Poa species?? - NE corner"
"Antennaria pulcherrima","Antennaria","pulcherrima","","Antennaria pulcherrima "
"Koelaria macrantha - no obvious awn, inconspicuous anthers, west side","Koelaria macrantha - no obvious awn, inconspicuous anthers, west side","Koelaria macrantha - no obvious awn, inconspicuous anthers, west side","Koelaria macrantha - no obvious awn, inconspicuous anthers, west side","Koelaria macrantha - no obvious awn, inconspicuous anthers, west side Koelaria macrantha - no obvious awn, inconspicuous anthers, west side Koelaria macrantha - no obvious awn, inconspicuous anthers, west side"
"Muhlenbergia montana (a C4 grass) ","Muhlenbergia montana (a C4 grass) ","Muhlenbergia montana (a C4 grass) ","Muhlenbergia montana (a C4 grass) ","Muhlenbergia montana (a C4 grass)  Muhlenbergia montana (a C4 grass)  Muhlenbergia montana (a C4 grass) "
"Agastache urticifolia","Agastache","urticifolia","","Agastache urticifolia "
"Medicago lupulina","Medicago","lupulina","","Medicago lupulina "
"Carex sp. (viridula? - short, 3 spikes, green, small perigynia)","Carex sp. (viridula? - short, 3 spikes, green, small perigynia)","Carex sp. (viridula? - short, 3 spikes, green, small perigynia)","Carex sp. (viridula? - short, 3 spikes, green, small perigynia)","Carex sp. (viridula? - short, 3 spikes, green, small perigynia) Carex sp. (viridula? - short, 3 spikes, green, small perigynia) Carex sp. (viridula? - short, 3 spikes, green, small perigynia)"
"Carex - tall, short brown head","Carex - tall, short brown head","Carex - tall, short brown head","Carex - tall, short brown head","Carex - tall, short brown head Carex - tall, short brown head Carex - tall, short brown head"
"Castilleja sulphurea - about a meter downhill from plot","Castilleja sulphurea - about a meter downhill from plot","Castilleja sulphurea - about a meter downhill from plot","Castilleja sulphurea - about a meter downhill from plot","Castilleja sulphurea - about a meter downhill from plot Castilleja sulphurea - about a meter downhill from plot Castilleja sulphurea - about a meter downhill from plot"
"Cirsium - short, white flowers","Cirsium - short, white flowers","Cirsium - short, white flowers","Cirsium - short, white flowers","Cirsium - short, white flowers Cirsium - short, white flowers Cirsium - short, white flowers"
"Phleum commutatum (alpinum)","Phleum","commutatum","(alpinum)","Phleum commutatum (alpinum)"
"Heuchera  parviflora (outside plot)","Heuchera  parviflora (outside plot)","Heuchera  parviflora (outside plot)","Heuchera  parviflora (outside plot)","Heuchera  parviflora (outside plot) Heuchera  parviflora (outside plot) Heuchera  parviflora (outside plot)"
"Gentianella acuta","Gentianella","acuta","","Gentianella acuta "
"Geranium richardsoniI","Geranium","richardsoniI","","Geranium richardsoniI "
"Noccea (Thlaspi) montana","Noccea","(Thlaspi)","montana","Noccea (Thlaspi) montana"
"Dasiphora (Potentilla) fruticosa (plant just outside plot to NW)","Dasiphora (Potentilla) fruticosa (plant just outside plot to NW)","Dasiphora (Potentilla) fruticosa (plant just outside plot to NW)","Dasiphora (Potentilla) fruticosa (plant just outside plot to NW)","Dasiphora (Potentilla) fruticosa (plant just outside plot to NW) Dasiphora (Potentilla) fruticosa (plant just outside plot to NW) Dasiphora (Potentilla) fruticosa (plant just outside plot to NW)"
"Epilobium brachycarpum, 75 cm outside to East","Epilobium brachycarpum, 75 cm outside to East","Epilobium brachycarpum, 75 cm outside to East","Epilobium brachycarpum, 75 cm outside to East","Epilobium brachycarpum, 75 cm outside to East Epilobium brachycarpum, 75 cm outside to East Epilobium brachycarpum, 75 cm outside to East"
"Gentianella acuta.1","Gentianella","acuta.1","","Gentianella acuta.1 "
"Phleum pratense","Phleum","pratense","","Phleum pratense "
"Senecio pudicus","Senecio","pudicus","","Senecio pudicus "
"Noccaea montana","Noccaea","montana","","Noccaea montana "
"Descurainia incana","Descurainia","incana","","Descurainia incana "
"Potentilla pulcherrima X P. hippiana","Potentilla pulcherrima X P. hippiana","Potentilla pulcherrima X P. hippiana","Potentilla pulcherrima X P. hippiana","Potentilla pulcherrima X P. hippiana Potentilla pulcherrima X P. hippiana Potentilla pulcherrima X P. hippiana"
"Chenopodium foliosum","Chenopodium","foliosum","","Chenopodium foliosum "
"Potentilla pulcherrima X hippiana ","Potentilla pulcherrima X hippiana ","Potentilla pulcherrima X hippiana ","Potentilla pulcherrima X hippiana ","Potentilla pulcherrima X hippiana  Potentilla pulcherrima X hippiana  Potentilla pulcherrima X hippiana "
"Erysimum capitatum","Erysimum","capitatum","","Erysimum capitatum "
